chr21	37073517	37073517	chr21	37108391	37108391	6.194051658112018e-12
chr21	37073365	37073365	chr21	37108391	37108391	0.685104495792953
chr21	37073467	37073467	chr21	37108391	37108391	0.0032801612687297
chr21	37073474	37073474	chr21	37108391	37108391	0.1541675970728324
chr21	37073484	37073484	chr21	37108391	37108391	0.0295214569909585
chr21	37096644	37096644	chr21	37108391	37108391	0.1279262888683322
chr21	37094091	37094091	chr21	37095349	37095349	0.9166216921273578
chr21	37091414	37091414	chr21	37095349	37095349	0.0833783078726422
chr21	37157215	37157215	chr21	37159698	37159698	0.0192376066694558
chr21	37158204	37158204	chr21	37159698	37159698	6.869745416138032e-12
chr21	37156907	37156907	chr21	37159698	37159698	0.9807623933236744
